ExperimentID,Model,Setting,DataScope,TrainManifest,ValManifest,MainMetricName,MainMetricValue,TrainTime,PeakGPUMemoryMB,OutputDir,Status,Conclusion,Notes
exp_track2_wavlm_base,wavlm_base,baseline,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.5942,104.81s,2779.21,/root/autodl-tmp/ATADD/outputs/track2_subset_wavlm_base_v1,completed,Track2 subset minimum baseline ran successfully,macro_f1=0.5876 epochs=3 balanced subset train=4000 dev=1200
exp_track2_xlsr_base,xlsr_base,baseline,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.5000,137.81s,4845.05,/root/autodl-tmp/ATADD/outputs/track2_subset_xlsr_base_v1,completed,Under current subset setting XLSR underperforms WAVLM,macro_f1=0.3333 epochs=3 likely collapsed toward single-class prediction
exp_track2_wavlm_aug,wavlm_base_aug_noise,enhancement,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.5967,102.83s,2779.21,/root/autodl-tmp/ATADD/outputs/track2_subset_wavlm_base_aug_v1,completed,Waveform augmentation slightly beat base,macro_f1=0.5909 epochs=3 noise+gain improves acc by 0.0025 on subset
exp_track2_mert_base,mert_base,baseline,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.6542,66.35s,2469.81,/root/autodl-tmp/ATADD/outputs/track2_subset_mert_base_v1,completed,MERT is the current best backbone on the balanced subset,macro_f1=0.6531 epochs=3 best_epoch=1
exp_track2_mert_aug,mert_base_aug_noise,enhancement,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.6358,68.16s,2469.81,/root/autodl-tmp/ATADD/outputs/track2_subset_mert_base_aug_v1,completed,Waveform augmentation did not beat the MERT baseline,macro_f1=0.6345 epochs=3 best_epoch=2
exp_track2_hubert_base,hubert_base,baseline,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.6183,73.04s,2557.66,/root/autodl-tmp/ATADD/outputs/track2_subset_hubert_base_v1,completed,HuBERT lands between WAVLM and MERT on the balanced subset,macro_f1=0.6168 epochs=3 best_epoch=3
exp_track2_mert_v1_330m,mert_v1_330m,baseline,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.6792,199.70s,2880.48,/root/autodl-tmp/ATADD/outputs/track2_subset_mert_v1_330m_v1,completed,MERT scaling 95M->330M lifts both accuracy and macro_f1,macro_f1=0.6720 epochs=3 best_epoch=3
exp_track2_ast_audioset,ast_audioset,baseline,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.7600,154.16s,551.55,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_v1,completed,AST AudioSet spectrogram backbone is the new strongest baseline on the balanced subset,macro_f1=0.7562 epochs=3 best_epoch=3 spectrogram_branch
exp_track2_ast_audioset_long,ast_audioset_long,enhancement,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.8100,1216.89s,551.55,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_long_v1,completed,Longer frozen-head training keeps lifting AST,macro_f1=0.8094 epochs=8 best_epoch=8
exp_track2_ast_audioset_ft,ast_audioset_ft,enhancement,track2,data/manifests/track2_train_balanced_500.csv,data/manifests/track2_dev_balanced_150.csv,accuracy,0.9533,520.19s,4143.09,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_ft_v1,completed,Full AST fine-tuning is the current ceiling on the balanced subset,macro_f1=0.9533 epochs=5 best_epoch=4
exp_track2_ast_audioset_ft_v2,ast_audioset_ft,enhancement,track2,data/manifests/track2_train_balanced_2000.csv,data/manifests/track2_dev_balanced_500.csv,accuracy,0.9763,2021.25s,4143.09,/root/autodl-tmp/ATADD/outputs/track2_subset_ast_audioset_ft_v2,completed,Full AST fine-tuning stays dominant on the larger balanced subset,macro_f1=0.9762 epochs=5 best_epoch=4 larger balanced subset train=16000 dev=4000
